m/z,intensity
656.778503417969,21238
657.112274169922,5476
657.678771972656,2698
658.587036132812,15748
658.710327148438,10496
659.799743652344,14404
659.943725585938,21796
660.08544921875,11970
660.117797851562,98790
660.618835449219,45524
661.119659423828,14300
665.085876464844,8502
665.257019042969,5432
669.094116210938,2534
671.88232421875,2934
671.984375,37442
672.08349609375,63858
672.184387207031,94258
672.284423828125,105216
672.384460449219,85794
672.485168457031,63340
672.585052490234,44158
672.68505859375,17444
672.785339355469,3016
673.683837890625,16106
673.784484863281,77216
673.884521484375,124404
673.985107421875,136074
674.084716796875,118638
674.185302734375,92640
674.285461425781,81212
674.385864257812,68568
674.485900878906,71058
674.586303710938,53640
674.6865234375,30874
674.786437988281,18114
675.986419677734,6336
676.086853027344,45788
676.186767578125,65948
676.286865234375,68692
676.38720703125,66612
676.487182617188,51442
676.586669921875,36986
676.687683105469,17930
676.789154052734,5940
680.189239501953,13252
680.289245605469,28462
680.388610839844,44148
680.490112304688,52494
680.589447021484,43112
680.690002441406,15076
680.790618896484,13146
681.187438964844,5602
681.289398193359,12858
681.389038085938,16056
681.488647460938,13834
681.588195800781,5912
681.991088867188,2508
682.034423828125,9156
682.092468261719,3354
682.191955566406,5216
683.098022460938,2618
683.388000488281,148022
683.487884521484,459464
683.588317871094,716288
683.6884765625,772814
683.7890625,777968
683.889282226562,749222
683.98974609375,692568
684.090576171875,549348
684.191528320312,395486
684.290954589844,244812
684.3916015625,136458
684.491333007812,77120
684.59033203125,49816
684.643737792969,18346
684.689575195312,32818
684.755859375,32500
684.792541503906,14106
684.869873046875,36250
684.898742675781,6720
684.942077636719,3624
684.982208251953,44336
685.030029296875,10468
685.048889160156,3974
685.089202880859,67048
685.145446777344,12742
685.189086914062,277460
685.232299804688,4102
685.289031982422,643164
685.337219238281,2972
685.388427734375,6864112
685.488708496094,16447832
685.588928222656,25018300
685.689086914062,25926296
685.789306640625,22815966
685.889526367188,16594126
685.989624023438,10316100
686.089782714844,6172526
686.190155029297,3190910
686.290130615234,1604690
686.390380859375,809594
686.490478515625,400292
686.557495117188,26144
686.590087890625,247366
686.657043457031,111414
686.687835693359,150572
686.755615234375,71740
686.788940429688,154176
686.852294921875,50700
686.888092041016,153198
686.941223144531,71790
686.988128662109,168364
687.04931640625,16508
687.087921142578,215910
687.140930175781,7580
687.188903808594,256772
687.244812011719,24628
687.289520263672,292184
687.337646484375,24780
687.3896484375,311426
687.447052001953,11916
687.489685058594,282136
687.547302246094,3758
687.589721679688,233844
687.64208984375,14744
687.689208984375,180360
687.741821289062,9692
687.789367675781,131110
687.841064453125,3624
687.888977050781,107194
687.942138671875,3454
687.988159179688,84800
688.087951660156,57348
688.190032958984,38838
688.28662109375,23418
688.388580322266,16152
688.587646484375,8100
688.689025878906,19822
688.789001464844,30776
688.889404296875,38036
688.988647460938,22344
689.090270996094,37454
689.189910888672,5316
689.486297607422,6446
689.533325195312,2550
689.589294433594,25292
689.689270019531,26146
689.788208007812,31314
689.888763427734,29184
689.988220214844,17728
690.091003417969,14240
690.690734863281,2694
690.790710449219,25700
690.89111328125,42622
690.990753173828,57796
691.091033935547,65102
691.191589355469,40874
691.291137695312,26384
691.388610839844,17634
691.489562988281,5630
691.52685546875,2570
691.593536376953,5492
692.085144042969,2522
692.393920898438,18616
692.494262695312,19330
692.594024658203,32318
692.694061279297,20626
692.793823242188,12354
693.092407226562,2632
694.087036132812,2548
695.195190429688,2552
695.292663574219,26160
695.392517089844,44124
695.493011474609,42634
695.592681884766,39640
695.69287109375,21492
695.792663574219,15822
695.893371582031,2562
698.3017578125,2526
700.100280761719,7098
700.487396240234,5444
700.991027832031,2590
701.087219238281,2510
701.390747070312,2782
701.493530273438,29664
701.593994140625,45382
701.694580078125,48460
701.794342041016,43064
701.894653320312,30390
701.9951171875,19638
702.095092773438,5798
703.088500976562,5342
707.285400390625,5774
707.386566162109,5270
709.586944580078,6218
709.687072753906,11210
709.7880859375,5470
715.596374511719,2668
715.833068847656,2680
716.088745117188,17868
716.307922363281,8906
716.501342773438,5762
716.589508056641,5436
717.592498779297,5684
717.693664550781,8040
717.792205810547,5326
718.429901123047,27594
718.596801757812,78206
718.688507080078,32160
718.766479492188,75728
718.886688232422,45152
718.932006835938,27034
718.993133544922,30424
719.088470458984,54230
719.192047119141,29046
719.284118652344,29836
719.391845703125,13812
719.488403320312,7660
719.79150390625,2616
719.895477294922,5490
719.985565185547,49908
720.094787597656,128152
720.204803466797,155188
720.316589355469,144418
720.428375244141,115574
720.493713378906,2520
720.539733886719,73752
720.651214599609,36774
720.763122558594,8990
721.495056152344,10510
721.594421386719,16032
721.696441650391,11892
721.79443359375,5420
723.20556640625,2984
723.318511962891,5326
723.429382324219,2854
723.540832519531,5480
723.649108886719,2506
723.760314941406,10102
723.870666503906,4130
723.980560302734,6672
724.091918945312,3296
724.206359863281,10912
724.318603515625,152014
724.430084228516,405170
724.541687011719,600006
724.652740478516,623058
724.764038085938,507680
724.875244140625,364208
724.986145019531,226090
725.096801757812,146794
725.208129882812,82816
725.319396972656,36026
725.429321289062,13658
725.540710449219,9594
725.980529785156,2774
726.094482421875,16974
726.205688476562,35974
726.316589355469,57682
726.428131103516,51108
726.539184570312,37964
726.651428222656,15344
726.760009765625,5642
727.424865722656,2716
727.539855957031,16294
727.600952148438,8554
727.651428222656,35710
727.725616455078,5690
727.761840820312,56658
727.869384765625,41356
727.982849121094,41708
728.096923828125,27990
728.2080078125,8736
728.615264892578,26344
728.865539550781,34948
729.115539550781,23082
729.727233886719,69010
729.852722167969,150580
729.977661132812,199922
730.102966308594,173626
730.228607177734,111456
730.353576660156,64034
730.478942871094,32186
730.605712890625,2670
731.090515136719,2706
731.649291992188,3118
731.759948730469,6650
731.871337890625,5270
731.980987548828,5346
732.097595214844,6018
735.204467773438,3150
735.314086914062,2612
739.594665527344,13914
739.719116210938,28074
739.845367431641,12386
739.97021484375,2628
745.427001953125,32792
745.760986328125,20146
746.092712402344,8732
746.649108886719,15782
746.760803222656,63986
746.871520996094,113760
746.983001708984,173632
747.094604492188,207708
747.205993652344,189064
747.317504882812,141780
747.428588867188,87978
747.540100097656,51350
747.65234375,29034
747.763946533203,5458
748.607238769531,3678
748.649505615234,108892
748.760986328125,270678
748.872131347656,439796
748.983337402344,466272
749.094970703125,386454
749.206146240234,288714
749.317779541016,201350
749.428833007812,143898
749.540222167969,119236
749.652221679688,74698
749.763305664062,49838
749.874267578125,31852
750.983947753906,2532
751.096923828125,15218
751.208679199219,63150
751.319488525391,142246
751.430480957031,214008
751.541748046875,230484
751.652954101562,213210
751.764038085938,163200
751.874877929688,117764
751.986267089844,62598
752.097351074219,44760
752.208618164062,9806
752.321594238281,2772
753.09619140625,2508
753.429931640625,2566
753.54052734375,5674
753.766174316406,22038
753.875732421875,12024
753.986022949219,18760
754.099487304688,40430
754.210021972656,25716
754.320648193359,30078
754.432373046875,8170
755.766235351562,9138
755.877716064453,48596
755.988891601562,115582
756.099975585938,144244
756.211303710938,161788
756.322235107422,125808
756.434020996094,110848
756.544830322266,63096
756.65576171875,28164
756.768127441406,15782
756.880187988281,3046
757.108581542969,8920
757.440734863281,8230
757.655822753906,2734
757.767150878906,8522
757.879516601562,26474
757.989685058594,47632
758.102142333984,56438
758.213134765625,47578
758.325256347656,36312
758.433837890625,24306
758.54541015625,11682
759.213439941406,5302
759.321472167969,13178
759.431182861328,424848
759.542663574219,1148552
759.654174804688,1802114
759.765686035156,1972718
759.877044677734,1983486
759.988952636719,1823648
760.100891113281,1630356
760.212463378906,1303994
760.324005126953,970930
760.435119628906,613622
760.546447753906,357616
760.657775878906,212236
760.768249511719,133246
760.830474853516,7466
760.88134765625,77822
760.944580078125,23602
760.990295410156,62096
761.046356201172,33600
761.102172851562,80902
761.156188964844,24738
761.210876464844,100534
761.265045166016,35346
761.28662109375,7162
761.323211669922,142112
761.374938964844,37880
761.432403564453,712080
761.494781494141,23554
761.543823242188,1672942
761.595672607422,24116
761.654357910156,16903114
761.705627441406,6990
761.765686035156,41451558
761.877136230469,61626742
761.988464355469,68342312
762.099792480469,57292220
762.210998535156,40338822
762.322387695312,25963332
762.433715820312,14948252
762.544799804688,7891046
762.656127929688,4014192
762.707946777344,10460
762.767028808594,1953982
762.819305419922,12510
762.878234863281,1006860
762.931121826172,9446
762.988342285156,608166
763.031494140625,24610
763.099060058594,437902
763.125244140625,214644
763.173645019531,10308
763.209228515625,377226
763.27197265625,108296
763.320983886719,350676
763.380218505859,97186
763.433410644531,460876
763.488464355469,34288
763.543975830078,494214
763.596984863281,18368
763.654968261719,628464
763.765808105469,755960
763.828735351562,29548
763.877807617188,750360
763.936340332031,28008
763.989044189453,711322
764.100189208984,584294
764.210906982422,457198
764.275146484375,5054
