"","sample","ground_truth","z","mz","spectrum_type","intensity","scaling_factor"
"246","prop0_id1",0,8,857.8642578125,"flp",0.0450675646083798,0.987431718967855
"247","prop0_id1",0,8,857.8642578125,"imp",0.011150771151039,0.012568281032145
"248","prop0_id1",0,8,857.8642578125,"residuals",-0.000842056913819937,1
"249","prop0_id1",0,8,857.989440917969,"mix",0.023889965330859,1
"250","prop0_id1",0,8,857.989440917969,"flp",0.023316920487091,0.987431718967855
"251","prop0_id1",0,8,857.989440917969,"imp",0.00491612491202407,0.012568281032145
"252","prop0_id1",0,8,857.989440917969,"residuals",0.000804311213770427,1
"253","prop0_id1",0,8,858.1142578125,"mix",0.0122215333325209,1
"254","prop0_id1",0,8,858.1142578125,"flp",0.0110754921389474,0.987431718967855
"255","prop0_id1",0,8,858.1142578125,"imp",0.00202388829150312,0.012568281032145
"256","prop0_id1",0,8,858.1142578125,"residuals",0.00125980429451981,1
"257","prop0_id1",0,8,858.239624023438,"mix",0.00588982230768042,1
"258","prop0_id1",0,8,858.239624023438,"flp",0.00487545407072166,0.987431718967855
"259","prop0_id1",0,8,858.239624023438,"imp",0.000782817754975477,0.012568281032145
"260","prop0_id1",0,8,858.239624023438,"residuals",0.00106580564033742,1
"261","prop0_id1",0,8,858.3642578125,"mix",0.0032242992235412,1
"262","prop0_id1",0,8,858.3642578125,"flp",0.00200395315456431,0.987431718967855
"263","prop0_id1",0,8,858.3642578125,"imp",0.000285933318506485,0.012568281032145
"264","prop0_id1",0,8,858.3642578125,"residuals",0.00124193862509526,1
"265","prop0_id1",0,8,858.488739013672,"mix",0.00169680444181851,1
"266","prop0_id1",0,8,858.488739013672,"flp",0.000773832256726714,0.987431718967855
"267","prop0_id1",0,8,858.488739013672,"imp",9.90548776077974e-05,0.012568281032145
"268","prop0_id1",0,8,858.488739013672,"residuals",0.000931452976826697,1
"269","prop0_id1",0,8,858.613220214844,"mix",0.00125358934256206,1
"270","prop0_id1",0,8,858.613220214844,"flp",0.000282171747572472,0.987431718967855
"271","prop0_id1",0,8,858.613220214844,"imp",3.26664733229596e-05,0.012568281032145
"272","prop0_id1",0,8,858.613220214844,"residuals",0.000974553447395357,1
"273","prop0_id1",0,8,858.737060546875,"mix",0.00106297467004342,1
"274","prop0_id1",0,8,858.737060546875,"flp",9.75811036023556e-05,0.987431718967855
"275","prop0_id1",0,8,858.737060546875,"imp",1.02881549914154e-05,0.012568281032145
"276","prop0_id1",0,8,858.737060546875,"residuals",0.000966490688751336,1
"277","prop0_id1",0,9,761.432800292969,"mix",0.000788378722690051,1
"278","prop0_id1",0,9,761.432800292969,"flp",0,0.992583346764148
"279","prop0_id1",0,9,761.432800292969,"imp",0.0451589210475159,0.00741665323585217
"280","prop0_id1",0,9,761.432800292969,"residuals",0.0004534506647754,1
"281","prop0_id1",0,9,761.54443359375,"mix",0.00181394508710896,1
"282","prop0_id1",0,9,761.54443359375,"flp",0,0.992583346764148
"283","prop0_id1",0,9,761.54443359375,"imp",0.120179520005344,0.00741665323585217
"284","prop0_id1",0,9,761.54443359375,"residuals",0.000922615261178173,1
"285","prop0_id1",0,9,761.654724121094,"mix",0.0456111166780577,1
"286","prop0_id1",0,9,761.654724121094,"flp",0.0452747245840491,0.992583346764148
"287","prop0_id1",0,9,761.654724121094,"imp",0.179835953650023,0.00741665323585217
"288","prop0_id1",0,9,761.654724121094,"residuals",-0.000661601880963779,1
"289","prop0_id1",0,9,761.76611328125,"mix",0.118718083407715,1
"290","prop0_id1",0,9,761.76611328125,"flp",0.120465249546316,0.992583346764148
"291","prop0_id1",0,9,761.76611328125,"imp",0.194808347393173,0.00741665323585217
"292","prop0_id1",0,9,761.76611328125,"residuals",-0.00229854311580976,1
"293","prop0_id1",0,9,761.877563476562,"mix",0.177916459461612,1
"294","prop0_id1",0,9,761.877563476562,"flp",0.180144332347771,0.992583346764148
"295","prop0_id1",0,9,761.877563476562,"imp",0.168985397983717,0.00741665323585217
"296","prop0_id1",0,9,761.877563476562,"residuals",-0.00214511093949862,1
"297","prop0_id1",0,9,761.988891601562,"mix",0.19830109310827,1
"298","prop0_id1",0,9,761.988891601562,"flp",0.194970993411771,0.992583346764148
"299","prop0_id1",0,9,761.988891601562,"imp",0.123825620287467,0.00741665323585217
"300","prop0_id1",0,9,761.988891601562,"residuals",0.00385776025829732,1
"301","prop0_id1",0,9,762.100219726562,"mix",0.169128850901689,1
"302","prop0_id1",0,9,762.100219726562,"flp",0.168951811135931,0.992583346764148
"303","prop0_id1",0,9,762.100219726562,"imp",0.079217393874859,0.00741665323585217
"304","prop0_id1",0,9,762.100219726562,"residuals",0.00084256882190531,1
"305","prop0_id1",0,9,762.211486816406,"mix",0.119561720652203,1
"306","prop0_id1",0,9,762.211486816406,"flp",0.12365864818148,0.992583346764148
"307","prop0_id1",0,9,762.211486816406,"imp",0.045243444862627,0.00741665323585217
"308","prop0_id1",0,9,762.211486816406,"residuals",-0.00351534915784173,1
"309","prop0_id1",0,9,762.32275390625,"mix",0.0756932982900287,1
